id,date,brn,description,reference,credit,debit,balance,createdAt,updatedAt,accountId
1,"2024-01-20 04:04:00",171,"OWN ACCT TRANSFER",NULL,292554,0,292554,"2024-01-20 04:04:00","2024-01-20 04:04:00",1
2,"2026-01-20 04:04:00",171,"Internal ACCT Transfer IB-",NULL,0,100000,192554,"2026-01-20 04:04:00","2026-01-20 04:04:00",1
3,"2026-01-20 04:04:00",171,"ATM CASH WITHDRAWAL FROM CASA ON-US",NULL,0,100000,92554,"2026-01-20 04:04:00","2026-01-20 04:04:00",1
4,"2026-01-20 04:04:00",101,"OWN ACCT TRANSFER-",NULL,0,5000,87554,"2026-01-20 04:04:00","2026-01-20 04:04:00",1
5,"2026-01-20 04:04:00",101,"Cheque Withdrawal/self",7793749,55000,0,142554,"2026-01-20 04:04:00","2026-01-20 04:04:00",1
6,"2026-01-20 04:04:00",171,"OUTWARD-NORMAL CLEARING",1037174,0,140000,2554,"2026-01-20 04:04:00","2026-01-20 04:04:00",1
7,"2026-01-20 04:04:00",747,"REG. VALUE CLG. CHARGE",NULL,80000,0,82554,"2026-01-20 04:04:00","2026-01-20 04:04:00",1
8,"2026-01-20 04:04:00",747,"REG. VALUE CLG. CHARGE",NULL,0,8,82546,"2026-01-20 04:04:00","2026-01-20 04:04:00",1
9,"2026-01-20 04:04:00",747,"VAT ON CHARGE",NULL,0,2,82544,"2026-01-20 04:04:00","2026-01-20 04:04:00",1
10,"2027-01-20 04:04:00",171,"OWN ACCT TRANSFER-",NULL,0,82000,544,"2027-01-20 04:04:00","2027-01-20 04:04:00",1
11,"2027-01-20 04:04:00",101,"Internal Acct Transfer IB-",NULL,100000,0,100544,"2027-01-20 04:04:00","2027-01-20 04:04:00",1
12,"2027-01-20 04:04:00",171,"OWN ACCT TRANSFER-",NULL,0,100000,544,"2027-01-20 04:04:00","2027-01-20 04:04:00",1
13,"2028-01-20 04:04:00",171,"Cash Deposit/ Self",NULL,50000,0,50544,"2028-01-20 04:04:00","2028-01-20 04:04:00",1
14,"2029-01-20 04:04:00",747,"INW-CLG DATA ENTRY",7793750,0,500000,544,"2029-01-20 04:04:00","2029-01-20 04:04:00",1
15,"2030-01-20 04:04:00",101,"Driver Salary for January 2020",NULL,5500,0,6044,"2030-01-20 04:04:00","2030-01-20 04:04:00",1
16,"2031-01-20 04:04:00",171,"OWN ACCT TRNSFER-",NULL,95000,0,101044,"2031-01-20 04:04:00","2031-01-20 04:04:00",1
17,"2001-02-20 04:04:00",747,"Cheque Withdrawal/ Self",9598149,0,100000,1044,"2001-02-20 04:04:00","2001-02-20 04:04:00",1
